Customer name,Customer Phone number,Business Name,Business Category,Amount,Item,Year
Marko Leo,9871264,Marko LTD,Fintech,200,Fire License,2010
Marko Leo,9871264,Marko LTD,Fintech,100,Liquor License,2010
Marko Leo,9871264,Marko LTD,Fintech,200,Fire License,2011
Marko Leo,9871264,Marko LTD,Fintech,400,Betting License,2011
Marko Leo,9871264,Marko LTD,Fintech,200,Fire License,2011
Marko Leo,9871264,Marko LTD,Fintech,200,Fire License,2012
Marko Leo,9871264,Marko LTD,Fintech,200,Fire License,2013
Marko Leo,9871264,Marko LTD,Fintech,200,Fire License,2014
Marko Leo,9871264,Marko LTD,Fintech,200,Fire License,2015
Doshio Mek,126538372,Doshio LTD,Health Care,1000.5,Public Health,2010
Doshio Mek,126538372,Doshio LTD,Health Care,800,Fire License,2011
Doshio Mek,126538372,Doshio LTD,Health Care,500,Advertisement permit,2010
Doshio Mek,126538372,Doshio LTD,Health Care,1000.5,Public Health,2015
Doshio Mek,126538372,Doshio LTD,Health Care,1000.5,Public Health,2016
Doshio Mek,126538372,Doshio LTD,Health Care,1000.5,Public Health,2017
